original_index,track_id,song_name,artist,genre,chorus_ratio,syllable_density,sentiment_score,flesch_kincaid_readability,lsa_component_1,lsa_component_2,lsa_component_3
17661,Pop_00038,Million Miles Away,Rihanna,Pop,0.15,1.4706,0.0,0.0,0.0,0.0,0.0
17662,Pop_00039,Moon Is Blue,Rihanna,Pop,0.2581,1.2913,0.0,0.0,0.0,0.0,0.0
17663,Pop_00040,Music Of The Sun,Rihanna,Pop,0.5167,1.4648,0.0,0.0,0.0,0.0,0.0
17664,Pop_00041,My Name Is Rihanna,Rihanna,Pop,0.1875,1.4844,0.0,0.0,0.0,0.0,0.0
17665,Pop_00042,Needed Me,Rihanna,Pop,0.6087,1.4931,0.0,0.0,0.0,0.0,0.0
17666,Pop_00043,Never Ending,Rihanna,Pop,0.8824,1.6386,0.0,0.0,0.0,0.0,0.0
17667,Pop_00044,No Love Allowed,Rihanna,Pop,0.5682,1.3731,0.0,0.0,0.0,0.0,0.0
17668,Pop_00045,Nobodys Business,Rihanna,Pop,0.7241,1.7269,0.0,0.0,0.0,0.0,0.0
17669,Pop_00046,Oh Baby,Rihanna,Pop,0.5714,1.2804,0.0,0.0,0.0,0.0,0.0
17670,Pop_00047,Only Girl,Rihanna,Pop,0.6275,1.2243,0.0,0.0,0.0,0.0,0.0
17671,Pop_00048,Phresh Out The Runway,Rihanna,Pop,0.4891,1.3194,0.0,0.0,0.0,0.0,0.0
17672,Pop_00049,Pour It Up,Rihanna,Pop,0.7949,1.2118,0.0,0.0,0.0,0.0,0.0
17673,Pop_00050,Rockstar 101,Rihanna,Pop,0.7826,1.3631,0.0,0.0,0.0,0.0,0.0
17674,Pop_00051,Rush,Rihanna,Pop,0.4915,1.252,0.0,0.0,0.0,0.0,0.0
17675,Pop_00052,Russian Roulette,Rihanna,Pop,0.3529,1.3333,0.0,0.0,0.0,0.0,0.0
17676,Pop_00053,Saxon,Rihanna,Pop,0.6,1.5268,0.0,0.0,0.0,0.0,0.0
17677,Pop_00054,Say It,Rihanna,Pop,0.5729,1.3172,0.0,0.0,0.0,0.0,0.0
17678,Pop_00055,Selfish Girl,Rihanna,Pop,0.5283,1.4824,0.0,0.0,0.0,0.0,0.0
17679,Pop_00056,Sell Me Candy,Rihanna,Pop,0.125,1.415,0.0,0.0,0.0,0.0,0.0
17680,Pop_00057,Should I,Rihanna,Pop,0.6477,1.3802,0.0,0.0,0.0,0.0,0.0
17681,Pop_00058,Shut Up And Drive,Rihanna,Pop,0.4615,1.5301,0.0,0.0,0.0,0.0,0.0
17682,Pop_00059,Silly Boy,Rihanna,Pop,0.6032,1.3795,0.0,0.0,0.0,0.0,0.0
17683,Pop_00060,Skin,Rihanna,Pop,0.7064,1.1849,0.0,0.0,0.0,0.0,0.0
17684,Pop_00061,Slower To Heal,Rihanna,Pop,0.7302,1.6725,0.0,0.0,0.0,0.0,0.0
17685,Pop_00062,S.O.S. (Rescue Me),Rihanna,Pop,0.4125,1.5078,0.0,0.0,0.0,0.0,0.0
17686,Pop_00063,Stay,Rihanna,Pop,0.4516,1.418,0.0,0.0,0.0,0.0,0.0
17687,Pop_00064,Stupid In Love,Rihanna,Pop,0.3889,1.3702,0.0,0.0,0.0,0.0,0.0
17688,Pop_00065,Take A Bow,Rihanna,Pop,0.3659,1.5833,0.0,0.0,0.0,0.0,0.0
17689,Pop_00066,Talk That Talk,Rihanna,Pop,0.3469,1.2979,0.0,0.0,0.0,0.0,0.0
17690,Pop_00067,Te Amo,Rihanna,Pop,0.575,1.3191,0.0,0.0,0.0,0.0,0.0
17691,Pop_00068,"That La, La, La",Rihanna,Pop,0.5192,1.2042,0.0,0.0,0.0,0.0,0.0
17692,Pop_00069,The Last Song,Rihanna,Pop,0.4286,1.3178,0.0,0.0,0.0,0.0,0.0
17693,Pop_00070,The Last Time,Rihanna,Pop,0.6774,1.3863,0.0,0.0,0.0,0.0,0.0
17694,Pop_00071,The One,Rihanna,Pop,0.4058,1.4554,0.0,0.0,0.0,0.0,0.0
17695,Pop_00072,The Wait Is Ova,Rihanna,Pop,0.6338,1.375,0.0,0.0,0.0,0.0,0.0
17696,Pop_00073,There's A Thug In My Life,Rihanna,Pop,0.5088,1.4265,0.0,0.0,0.0,0.0,0.0
17697,Pop_00074,Tide Is High,Rihanna,Pop,0.3511,1.3557,0.0,0.0,0.0,0.0,0.0
17698,Pop_00075,Towards The Sun,Rihanna,Pop,0.75,1.381,0.0,0.0,0.0,0.0,0.0
17699,Pop_00076,Unfaithful,Rihanna,Pop,0.4545,1.4555,0.0,0.0,0.0,0.0,0.0
17700,Pop_00077,Vogue,Rihanna,Pop,0.3431,1.7344,0.0,0.0,0.0,0.0,0.0
17701,Pop_00078,Wait Your Turn,Rihanna,Pop,0.7059,1.377,0.0,0.0,0.0,0.0,0.0
17702,Pop_00079,Watch And Learn,Rihanna,Pop,0.8171,1.241,0.0,0.0,0.0,0.0,0.0
17703,Pop_00080,We All Want Love,Rihanna,Pop,0.7742,1.6584,0.0,0.0,0.0,0.0,0.0
17704,Pop_00081,We Found Love,Rihanna,Pop,0.8387,1.6218,0.0,0.0,0.0,0.0,0.0
17705,Pop_00082,We Ride,Rihanna,Pop,0.2976,1.4904,0.0,0.0,0.0,0.0,0.0
17706,Pop_00083,What Now,Rihanna,Pop,0.6087,1.3904,0.0,0.0,0.0,0.0,0.0
17707,Pop_00084,What's My Name,Rihanna,Pop,0.5859,1.235,0.0,0.0,0.0,0.0,0.0
17708,Pop_00085,Where Have You Been,Rihanna,Pop,0.9167,1.8046,0.0,0.0,0.0,0.0,0.0
17709,Pop_00086,Whipping My Hair,Rihanna,Pop,0.7193,1.3667,0.0,0.0,0.0,0.0,0.0
50857,Pop_00087,Bad Girl,Rihanna,Pop,0.56,1.2167,0.0,0.0,0.0,0.0,0.0
50858,Pop_00088,Birthday Cake,Rihanna,Pop,0.4286,1.2264,0.0,0.0,0.0,0.0,0.0
50859,Pop_00089,Bitch Better Have My Money,Rihanna,Pop,0.625,1.3971,0.0,0.0,0.0,0.0,0.0
50860,Pop_00090,Break It Off,Rihanna,Pop,0.2414,1.2555,0.0,0.0,0.0,0.0,0.0
50861,Pop_00091,Breakin Dishes,Rihanna,Pop,0.5574,1.3211,0.0,0.0,0.0,0.0,0.0
50862,Pop_00092,Close To You,Rihanna,Pop,0.5862,1.6538,0.0,0.0,0.0,0.0,0.0
50863,Pop_00093,Complicated,Rihanna,Pop,0.6515,1.8,0.0,0.0,0.0,0.0,0.0
50864,Pop_00094,Control Me,Rihanna,Pop,0.6364,1.6875,0.0,0.0,0.0,0.0,0.0
50865,Pop_00095,Coulda Been The One,Rihanna,Pop,0.4833,1.4259,0.0,0.0,0.0,0.0,0.0
50866,Pop_00096,Dancing In The Dark,Rihanna,Pop,0.7292,1.3048,0.0,0.0,0.0,0.0,0.0
50867,Pop_00097,Get It Over With,Rihanna,Pop,0.8085,1.4118,0.0,0.0,0.0,0.0,0.0
50868,Pop_00098,Golden Girl,Rihanna,Pop,0.6618,1.3316,0.0,0.0,0.0,0.0,0.0
50869,Pop_00099,Half Of Me,Rihanna,Pop,0.1765,1.5826,0.0,0.0,0.0,0.0,0.0
50870,Pop_00100,Hallucination,Rihanna,Pop,0.5854,2.0982,0.0,0.0,0.0,0.0,0.0
50871,Pop_00101,Happy,Rihanna,Pop,0.6842,1.7385,0.0,0.0,0.0,0.0,0.0
50872,Pop_00102,Hard,Rihanna,Pop,0.2976,1.2472,0.0,0.0,0.0,0.0,0.0
50873,Pop_00103,Hate That I Love You,Rihanna,Pop,0.1667,1.2387,0.0,0.0,0.0,0.0,0.0
50875,Pop_00104,Hypnotized,Rihanna,Pop,0.5,1.7784,0.0,0.0,0.0,0.0,0.0
50876,Pop_00105,I Just Don't Feel Like Christmas,Rihanna,Pop,0.2963,1.5,0.0,0.0,0.0,0.0,0.0
50877,Pop_00106,Ice,Rihanna,Pop,0.6765,1.4561,0.0,0.0,0.0,0.0,0.0
50878,Pop_00107,If I Never See Your Face Again,Rihanna,Pop,0.5455,1.4561,0.0,0.0,0.0,0.0,0.0
50879,Pop_00108,If It's Lovin' That You Want,Rihanna,Pop,0.7465,1.4142,0.0,0.0,0.0,0.0,0.0
50880,Pop_00109,Immortal,Rihanna,Pop,0.5854,1.5932,0.0,0.0,0.0,0.0,0.0
50881,Pop_00110,It Just Don't Feel Like Xmas (Without You),Rihanna,Pop,0.5556,1.4895,0.0,0.0,0.0,0.0,0.0
50883,Pop_00111,Jump,Rihanna,Pop,0.6167,1.2791,0.0,0.0,0.0,0.0,0.0
50884,Pop_00112,Just Be Happy,Rihanna,Pop,0.717,1.6866,0.0,0.0,0.0,0.0,0.0
50885,Pop_00113,Kisses Don't Lie,Rihanna,Pop,0.9,1.4514,0.0,0.0,0.0,0.0,0.0
50886,Pop_00114,Lease My Love,Rihanna,Pop,0.359,1.5222,0.0,0.0,0.0,0.0,0.0
50887,Pop_00115,Lemme Get That,Rihanna,Pop,0.431,1.1419,0.0,0.0,0.0,0.0,0.0
50888,Pop_00116,Let Me,Rihanna,Pop,0.6707,1.2264,0.0,0.0,0.0,0.0,0.0
50889,Pop_00117,Let This Be The Last Time,Rihanna,Pop,0.4107,1.2276,0.0,0.0,0.0,0.0,0.0
50890,Pop_00118,Lost In Paradise,Rihanna,Pop,0.7941,1.5574,0.0,0.0,0.0,0.0,0.0
50891,Pop_00119,Now I Know,Rihanna,Pop,0.2,1.4343,0.0,0.0,0.0,0.0,0.0
50892,Pop_00120,Photographs,Rihanna,Pop,0.4828,1.5773,0.0,0.0,0.0,0.0,0.0
50893,Pop_00121,Pon De Replay,Rihanna,Pop,0.8281,1.3891,0.0,0.0,0.0,0.0,0.0
50894,Pop_00122,Prototype,Rihanna,Pop,0.5185,1.5833,0.0,0.0,0.0,0.0,0.0
50895,Pop_00123,P.S. I'm Still Not Over You,Rihanna,Pop,0.119,1.4222,0.0,0.0,0.0,0.0,0.0
50896,Pop_00124,Push Up On Me,Rihanna,Pop,0.439,1.3292,0.0,0.0,0.0,0.0,0.0
50897,Pop_00125,Put Them Lighters Up,Rihanna,Pop,0.6875,1.4091,0.0,0.0,0.0,0.0,0.0
50898,Pop_00126,Question Existing,Rihanna,Pop,0.2432,1.7304,0.0,0.0,0.0,0.0,0.0
50899,Pop_00127,Real As You And Me,Rihanna,Pop,0.6897,1.377,0.0,0.0,0.0,0.0,0.0
50900,Pop_00128,Red Lipstick,Rihanna,Pop,0.95,1.3232,0.0,0.0,0.0,0.0,0.0
50901,Pop_00129,Rehab,Rihanna,Pop,0.6567,1.5115,0.0,0.0,0.0,0.0,0.0
50902,Pop_00130,Right Now,Rihanna,Pop,0.7451,1.3919,0.0,0.0,0.0,0.0,0.0
50903,Pop_00131,Roc Me Out,Rihanna,Pop,0.6667,1.1494,0.0,0.0,0.0,0.0,0.0
50904,Pop_00132,Rude Boy,Rihanna,Pop,0.7687,1.2903,0.0,0.0,0.0,0.0,0.0
50905,Pop_00133,Who Ya Gonna Run To?,Rihanna,Pop,0.7091,1.4095,0.0,0.0,0.0,0.0,0.0
50906,Pop_00134,Why Am I So In Love,Rihanna,Pop,0.4222,1.3378,0.0,0.0,0.0,0.0,0.0
50907,Pop_00135,Willing To Wait,Rihanna,Pop,0.2059,1.3186,0.0,0.0,0.0,0.0,0.0
50908,Pop_00136,Winning Women,Rihanna,Pop,0.8,1.4966,0.0,0.0,0.0,0.0,0.0
50909,Pop_00137,Written In The Stars,Rihanna,Pop,0.5306,1.528,0.0,0.0,0.0,0.0,0.0
50910,Pop_00138,"Yeah, I Said It",Rihanna,Pop,0.5,1.2366,0.0,0.0,0.0,0.0,0.0
50911,Pop_00139,You Da One,Rihanna,Pop,0.6349,1.4036,0.0,0.0,0.0,0.0,0.0
50912,Pop_00140,"You Don't Love Me (No, No, No)",Rihanna,Pop,0.1429,1.2478,0.0,0.0,0.0,0.0,0.0
12520,Pop_00141,Can't Stop,Maroon 5,Pop,0.5667,1.547,0.0,0.0,0.0,0.0,0.0
12521,Pop_00142,Harder To Breathe,Maroon 5,Pop,0.475,1.7222,0.0,0.0,0.0,0.0,0.0
12522,Pop_00143,Highway To Hell,Maroon 5,Pop,0.3871,1.4175,0.0,0.0,0.0,0.0,0.0
12523,Pop_00144,If I Fell,Maroon 5,Pop,0.0952,1.2075,0.0,0.0,0.0,0.0,0.0
12524,Pop_00145,If You Only Knew,Maroon 5,Pop,0.3333,1.3226,0.0,0.0,0.0,0.0,0.0
12525,Pop_00146,It Was Always You,Maroon 5,Pop,0.7812,1.63,0.0,0.0,0.0,0.0,0.0
12526,Pop_00147,Last Chance,Maroon 5,Pop,0.3148,1.3545,0.0,0.0,0.0,0.0,0.0
12527,Pop_00148,Leaving California,Maroon 5,Pop,0.5,1.3333,0.0,0.0,0.0,0.0,0.0
12528,Pop_00149,Myself,Maroon 5,Pop,0.7027,1.5591,0.0,0.0,0.0,0.0,0.0
12529,Pop_00150,New Love,Maroon 5,Pop,0.6,1.5714,0.0,0.0,0.0,0.0,0.0
12530,Pop_00151,Oliver,Maroon 5,Pop,0.7333,1.9403,0.0,0.0,0.0,0.0,0.0
12531,Pop_00152,One More Night,Maroon 5,Pop,0.65,1.3838,0.0,0.0,0.0,0.0,0.0
12532,Pop_00153,Out Of Goodbyes,Maroon 5,Pop,0.5217,1.4937,0.0,0.0,0.0,0.0,0.0
12533,Pop_00154,Payphone (Clean Version),Maroon 5,Pop,0.475,1.5039,0.0,0.0,0.0,0.0,0.0
12534,Pop_00155,Pure Imagination,Maroon 5,Pop,0.8333,1.7671,0.0,0.0,0.0,0.0,0.0
12536,Pop_00156,Shoot Love,Maroon 5,Pop,0.6774,1.2772,0.0,0.0,0.0,0.0,0.0
12537,Pop_00157,The Air That I Breathe,Maroon 5,Pop,0.5758,1.6752,0.0,0.0,0.0,0.0,0.0
12538,Pop_00158,The Kid With The Velvet Eyes,Maroon 5,Pop,0.6774,1.4609,0.0,0.0,0.0,0.0,0.0
12539,Pop_00159,The Way I Was,Maroon 5,Pop,0.1951,1.5638,0.0,0.0,0.0,0.0,0.0
12540,Pop_00160,This Summer's Gonna Hurt,Maroon 5,Pop,0.5088,1.6279,0.0,0.0,0.0,0.0,0.0
12541,Pop_00161,Unkiss Me,Maroon 5,Pop,0.7451,1.4965,0.0,0.0,0.0,0.0,0.0
12542,Pop_00162,Wake Up Call,Maroon 5,Pop,0.5974,1.4138,0.0,0.0,0.0,0.0,0.0
43091,Pop_00163,Animals,Maroon 5,Pop,0.8085,1.5143,0.0,0.0,0.0,0.0,0.0
43092,Pop_00164,As Things Collide,Maroon 5,Pop,0.5172,1.92,0.0,0.0,0.0,0.0,0.0
43093,Pop_00165,Back At Your Door,Maroon 5,Pop,0.1667,1.5182,0.0,0.0,0.0,0.0,0.0
43094,Pop_00166,Beautiful Goodbye,Maroon 5,Pop,0.45,1.4387,0.0,0.0,0.0,0.0,0.0
43095,Pop_00167,Better That We Break,Maroon 5,Pop,0.2973,1.64,0.0,0.0,0.0,0.0,0.0
43096,Pop_00168,Captain Splendid,Maroon 5,Pop,0.434,1.5047,0.0,0.0,0.0,0.0,0.0
43097,Pop_00169,Come Away To The Water,Maroon 5,Pop,0.6562,1.6044,0.0,0.0,0.0,0.0,0.0
43098,Pop_00170,Come Talk With Me,Maroon 5,Pop,0.5435,1.3738,0.0,0.0,0.0,0.0,0.0
43099,Pop_00171,Coming Back For You,Maroon 5,Pop,0.918,1.3855,0.0,0.0,0.0,0.0,0.0
43100,Pop_00172,Daylight,Maroon 5,Pop,0.5,1.3239,0.0,0.0,0.0,0.0,0.0
43101,Pop_00173,Doin' Dirt,Maroon 5,Pop,0.6842,1.3468,0.0,0.0,0.0,0.0,0.0
43102,Pop_00174,Don't Know Nothing,Maroon 5,Pop,0.4186,1.4276,0.0,0.0,0.0,0.0,0.0
43103,Pop_00175,Don't Look Back In Anger,Maroon 5,Pop,0.4524,1.45,0.0,0.0,0.0,0.0,0.0
43104,Pop_00176,Don't Wanna Know,Maroon 5,Pop,0.7159,1.2035,0.0,0.0,0.0,0.0,0.0
43105,Pop_00177,Everyday Goodbyes,Maroon 5,Pop,0.5909,1.6951,0.0,0.0,0.0,0.0,0.0
43106,Pop_00178,Falling For The First Time,Maroon 5,Pop,0.4074,1.6014,0.0,0.0,0.0,0.0,0.0
43107,Pop_00179,Feelings,Maroon 5,Pop,0.6078,1.3172,0.0,0.0,0.0,0.0,0.0
43108,Pop_00180,Figure It Out,Maroon 5,Pop,0.4167,1.6181,0.0,0.0,0.0,0.0,0.0
43109,Pop_00181,Fortune Teller,Maroon 5,Pop,0.6591,1.4783,0.0,0.0,0.0,0.0,0.0
43110,Pop_00182,Funky,Maroon 5,Pop,0.1,1.4,0.0,0.0,0.0,0.0,0.0
43111,Pop_00183,Future Kid,Maroon 5,Pop,0.5517,1.7627,0.0,0.0,0.0,0.0,0.0
43112,Pop_00184,Get Back In My Life,Maroon 5,Pop,0.6027,1.5211,0.0,0.0,0.0,0.0,0.0
43113,Pop_00185,Give A Little More,Maroon 5,Pop,0.4,1.3743,0.0,0.0,0.0,0.0,0.0
43114,Pop_00186,Good At Being Gone,Maroon 5,Pop,0.625,1.5056,0.0,0.0,0.0,0.0,0.0
43115,Pop_00187,Goodnight Goodnight,Maroon 5,Pop,0.5333,1.5294,0.0,0.0,0.0,0.0,0.0
43116,Pop_00188,Hands All Over,Maroon 5,Pop,0.3729,1.3115,0.0,0.0,0.0,0.0,0.0
43117,Pop_00189,Happy Xmas (War Is Over),Maroon 5,Pop,0.5897,1.3882,0.0,0.0,0.0,0.0,0.0
43118,Pop_00190,Hello,Maroon 5,Pop,0.5357,1.5182,0.0,0.0,0.0,0.0,0.0
43119,Pop_00191,How,Maroon 5,Pop,0.617,1.4364,0.0,0.0,0.0,0.0,0.0
43120,Pop_00192,I Can't Lie,Maroon 5,Pop,0.4681,1.3232,0.0,0.0,0.0,0.0,0.0
43121,Pop_00193,I Don't Want To Know,Maroon 5,Pop,0.413,1.2667,0.0,0.0,0.0,0.0,0.0
43122,Pop_00194,I Shall Be Released,Maroon 5,Pop,0.5,1.4487,0.0,0.0,0.0,0.0,0.0
43123,Pop_00195,In Your Pocket,Maroon 5,Pop,0.7941,1.3274,0.0,0.0,0.0,0.0,0.0
43124,Pop_00196,Infatuation,Maroon 5,Pop,0.5625,1.6594,0.0,0.0,0.0,0.0,0.0
43125,Pop_00197,Is There Anybody Out There,Maroon 5,Pop,0.359,1.7297,0.0,0.0,0.0,0.0,0.0
43126,Pop_00198,Just A Feeling,Maroon 5,Pop,0.5735,1.648,0.0,0.0,0.0,0.0,0.0
43127,Pop_00199,Keep On Rockin' In The Free World,Maroon 5,Pop,0.2449,1.3946,0.0,0.0,0.0,0.0,0.0
43128,Pop_00200,Kiss,Maroon 5,Pop,0.4651,1.4495,0.0,0.0,0.0,0.0,0.0
43129,Pop_00201,Kiwi,Maroon 5,Pop,0.4386,1.5918,0.0,0.0,0.0,0.0,0.0
43130,Pop_00202,Ladykiller,Maroon 5,Pop,0.7,1.4722,0.0,0.0,0.0,0.0,0.0
43131,Pop_00203,Little Of Your Time,Maroon 5,Pop,0.5192,1.3784,0.0,0.0,0.0,0.0,0.0
43132,Pop_00204,Losing My Mind,Maroon 5,Pop,0.0571,1.5446,0.0,0.0,0.0,0.0,0.0
43133,Pop_00205,Lost Stars,Maroon 5,Pop,0.2703,1.3312,0.0,0.0,0.0,0.0,0.0
43134,Pop_00206,Love Somebody,Maroon 5,Pop,0.7073,1.3492,0.0,0.0,0.0,0.0,0.0
43135,Pop_00207,Lovely Day,Maroon 5,Pop,0.7857,1.5733,0.0,0.0,0.0,0.0,0.0
43136,Pop_00208,Loving The Small Time,Maroon 5,Pop,0.8919,1.589,0.0,0.0,0.0,0.0,0.0
43137,Pop_00209,Lucky Strike,Maroon 5,Pop,0.7872,1.5798,0.0,0.0,0.0,0.0,0.0
43138,Pop_00210,Maps,Maroon 5,Pop,0.6538,1.4943,0.0,0.0,0.0,0.0,0.0
43139,Pop_00211,Misery,Maroon 5,Pop,0.5797,1.4419,0.0,0.0,0.0,0.0,0.0
43140,Pop_00212,"Miss You, Love You",Maroon 5,Pop,0.2821,1.4,0.0,0.0,0.0,0.0,0.0
43141,Pop_00213,Moves Like Jagger,Maroon 5,Pop,0.5714,1.4103,0.0,0.0,0.0,0.0,0.0
43142,Pop_00214,Must Get Out,Maroon 5,Pop,0.4062,1.6458,0.0,0.0,0.0,0.0,0.0
43143,Pop_00215,My Blue Ocean,Maroon 5,Pop,0.5806,1.4286,0.0,0.0,0.0,0.0,0.0
43144,Pop_00216,My Heart Is Open,Maroon 5,Pop,0.5778,1.2167,0.0,0.0,0.0,0.0,0.0
43145,Pop_00217,Never Gonna Leave This Bed,Maroon 5,Pop,0.5909,1.2569,0.0,0.0,0.0,0.0,0.0
43146,Pop_00218,Never Saga,Maroon 5,Pop,0.56,1.5385,0.0,0.0,0.0,0.0,0.0
43147,Pop_00219,No Curtain Call,Maroon 5,Pop,0.35,1.6887,0.0,0.0,0.0,0.0,0.0
43148,Pop_00220,Not Coming Home,Maroon 5,Pop,0.6591,1.3407,0.0,0.0,0.0,0.0,0.0
43149,Pop_00221,Pantry Queen,Maroon 5,Pop,0.5217,1.3043,0.0,0.0,0.0,0.0,0.0
43150,Pop_00222,Payphone,Maroon 5,Pop,0.519,1.4735,0.0,0.0,0.0,0.0,0.0
43151,Pop_00223,Ragdoll,Maroon 5,Pop,0.6341,1.5111,0.0,0.0,0.0,0.0,0.0
43152,Pop_00224,Runaway,Maroon 5,Pop,0.5882,1.5607,0.0,0.0,0.0,0.0,0.0
43153,Pop_00225,Sad,Maroon 5,Pop,0.7105,1.4558,0.0,0.0,0.0,0.0,0.0
43154,Pop_00226,Secret,Maroon 5,Pop,0.3784,1.3951,0.0,0.0,0.0,0.0,0.0
43155,Pop_00227,She Will Be Loved,Maroon 5,Pop,0.4762,1.6688,0.0,0.0,0.0,0.0,0.0
43156,Pop_00228,Sleepy Windbreaker,Maroon 5,Pop,0.5263,1.4419,0.0,0.0,0.0,0.0,0.0
43157,Pop_00229,Soap Disco,Maroon 5,Pop,0.6957,1.3976,0.0,0.0,0.0,0.0,0.0
43158,Pop_00230,Story,Maroon 5,Pop,0.3556,1.5,0.0,0.0,0.0,0.0,0.0
43159,Pop_00231,Stutter,Maroon 5,Pop,0.6452,1.5714,0.0,0.0,0.0,0.0,0.0
43160,Pop_00232,Sugar,Maroon 5,Pop,0.7324,1.452,0.0,0.0,0.0,0.0,0.0
43161,Pop_00233,Sunday Morning,Maroon 5,Pop,0.5455,1.496,0.0,0.0,0.0,0.0,0.0
43162,Pop_00234,Sweetest Goodbye,Maroon 5,Pop,0.5714,1.6264,0.0,0.0,0.0,0.0,0.0
43163,Pop_00235,Take What You Want,Maroon 5,Pop,0.7241,1.6071,0.0,0.0,0.0,0.0,0.0
43164,Pop_00236,Tangled,Maroon 5,Pop,0.1724,1.4079,0.0,0.0,0.0,0.0,0.0
43165,Pop_00237,That's Not Enough,Maroon 5,Pop,0.5918,1.2627,0.0,0.0,0.0,0.0,0.0
43166,Pop_00238,The Fog,Maroon 5,Pop,0.5294,1.5906,0.0,0.0,0.0,0.0,0.0
43167,Pop_00239,The Great Getaway,Maroon 5,Pop,0.7021,1.4532,0.0,0.0,0.0,0.0,0.0
